('Net Interest Income', '1,305,000', '1,153,000', '1,730,000', '2,327,000', '1,764,000')
         487401 function calls (469663 primitive calls) in 1.517 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      766    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
      766    0.006    0.000    0.009    0.000 sre_compile.py:292(_optimize_charset)
      760    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x95bbc0}
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      731    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
      731    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
      714    0.001    0.000    0.001    0.000 socket.py:730(readable)
      714    0.001    0.000    0.002    0.000 sre_parse.py:356(_escape)
      713    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      713    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      713    1.031    0.001    1.031    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      713    0.003    0.000    1.044    0.001 socket.py:691(readinto)
      713    0.002    0.000    1.033    0.001 ssl.py:1121(read)
      713    0.003    0.000    1.038    0.001 ssl.py:1263(recv_into)
      695    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      689    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      689    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      651    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  608/591    0.000    0.000    0.004    0.000 typing.py:306(inner)
      581    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      542    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      542    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      531    0.000    0.000    0.004    0.000 enum.py:359(__call__)
      521    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      472    0.002    0.000    0.002    0.000 css_types.py:40(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      429    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      427    0.000    0.000    0.001    0.000 _htmlparser.py:195(handle_data)
      425    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
      425    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
      425    0.001    0.000    0.002    0.000 element.py:934(__new__)
      416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      412    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      408    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
